request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,"Pay IDR 15,656,000 today. This leaves at least IDR 41,638,792.10 available over the next 90 days."
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,"Pay ZAR 6,670 today. This leaves at least ZAR 55,792.08 available over the next 90 days."
request_28,427.92,affordable_later,wait,2024-07-15:1302.4,2024-07-15,none,"Pay EUR 1,302.40 in full on 15 July 2024. Paying earlier would take the balance below the EUR 1,100 minimum."
request_29,26924.34,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 51,524 request. Although ZAR 26,924.34 is available today, the full amount cannot be completed safely within 90 days."
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,"Use 3 installments of USD 268.74, starting 6 April 2026. This leaves at least USD 1,000.83 available."
request_31,5428286.42,affordable_later,wait,2024-10-15:18164000,2024-10-15,none,"Pay IDR 18,164,000 in full on 15 October 2024. Paying earlier would take the balance below the IDR 16,588,900 minimum."
request_32,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 April 2025. None of the available options keeps the ZAR 35,700 minimum protected."
request_33,46085.73,affordable_later,wait,2026-01-15:118000,2026-01-15,none,"Pay INR 118,000 in full on 15 January 2026. Paying earlier would take the balance below the INR 102,100 minimum."
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,"Pay INR 129,400 today. This leaves at least INR 176,448.55 available over the next 90 days."
request_35,52003.28,affordable_later,wait,2025-12-15:212000,2025-12-15,none,"Pay INR 212,000 in full on 15 December 2025. Paying earlier would take the balance below the INR 106,400 minimum."
request_36,792.69,affordable_later,wait,2026-08-15:3954,2026-08-15,none,"Pay USD 3,954 in full on 15 August 2026. Paying earlier would take the balance below the USD 2,400 minimum."
request_37,6813645.37,affordable_later,wait,2024-03-15:14649000,2024-03-15,none,"Pay IDR 14,649,000 in full on 15 March 2024. Paying earlier would take the balance below the IDR 17,056,200 minimum."
request_38,222.33,affordable_later,wait,2025-09-15:971.3,2025-09-15,none,Pay EUR 971.30 in full on 15 September 2025. Paying earlier would take the balance below the EUR 400 minimum.
request_39,84140.95,affordable_later,wait,2026-04-15:208600,2026-04-15,none,"Pay INR 208,600 in full on 15 April 2026. Paying earlier would take the balance below the INR 213,400 minimum."
request_40,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 August 2024. None of the available options keeps the EUR 1,500 minimum protected."
request_41,11597655.07,affordable_later,wait,2025-12-15:38760000,2025-12-15,none,"Pay IDR 38,760,000 in full on 15 December 2025. Paying earlier would take the balance below the IDR 25,366,600 minimum."
request_42,52100,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,"Pay INR 52,100 today. This leaves at least INR 170,135.80 available over the next 90 days."
request_43,8344740.52,affordable_later,wait,2024-11-15:43339000,2024-11-15,none,"Pay IDR 43,339,000 in full on 15 November 2024. Paying earlier would take the balance below the IDR 21,398,000 minimum."
request_44,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 April 2025. None of the available options keeps the INR 82,900 minimum protected."
request_45,4383045.43,affordable_later,wait,2026-08-15:21983000,2026-08-15,none,"Pay IDR 21,983,000 in full on 15 August 2026. Paying earlier would take the balance below the IDR 11,149,800 minimum."
request_46,48080.55,affordable_with_plan,partial_payment,2024-12-03:48080.55|2024-12-15:1369.45,2024-12-15,none,"Pay INR 48,080.55 today and the remaining INR 1,369.45 on 15 December 2024. This completes the full request and keeps the INR 84,000 minimum protected."
request_47,31971867.01,affordable_with_plan,full_payment,2025-05-05:38114000,,reduce_to:event_4406:770450|stop:event_4340,"Reduce the expense event_4406 to IDR 770450 and Stop the expense event_4340, then pay IDR 38,114,000 today. This leaves at least IDR 30,049,000 available."
request_48,45700,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,"Pay INR 45,700 today. This leaves at least INR 100,550.01 available over the next 90 days."
request_49,13479673.29,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-05-15,none,"Use 3 installments of IDR 11,902,106.67, starting 18 March 2024. This leaves at least IDR 27,255,205.92 available."
request_50,43900,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,"Pay INR 43,900 today. This leaves at least INR 162,035.60 available over the next 90 days."
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,"Pay IDR 2,191,000 today. This leaves at least IDR 19,711,125.55 available over the next 90 days."
request_52,22063.42,affordable_later,wait,2024-06-15:28870,2024-06-15,none,"Pay INR 28,870 in full on 15 June 2024. Paying earlier would take the balance below the INR 41,500 minimum."
request_53,622.92,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2025-12-15,none,"Use 3 installments of USD 589.06, starting 21 November 2025. This leaves at least USD 2,722.92 available."
request_54,6607.67,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 121,528 request. Although ZAR 6,607.67 is available today, the full amount cannot be completed safely within 90 days."
request_55,129230.81,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-06-15,none,"Use 3 installments of INR 75,781.33, starting 11 June 2026. This leaves at least INR 177,749.48 available."
request_56,778.78,affordable_with_plan,partial_payment,2025-02-03:778.78|2025-02-15:102.78,2025-02-15,none,"Pay USD 778.78 today and the remaining USD 102.78 on 15 February 2025. This completes the full request and keeps the USD 2,100 minimum protected."
request_57,15164.33,affordable_later,wait,2026-05-15:61446,2026-05-15,none,"Pay ZAR 61,446 in full on 15 May 2026. Paying earlier would take the balance below the ZAR 42,700 minimum."
request_58,16226000,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,"Pay IDR 16,226,000 today. This leaves at least IDR 23,141,002.11 available over the next 90 days."
request_59,140600,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,"Use 3 installments of INR 48,741.33, starting 7 May 2025. This leaves at least INR 285,358.24 available."
request_60,183.63,affordable_later,wait,2026-01-15:199.89,2026-01-15,none,Pay USD 199.89 in full on 15 January 2026. Paying earlier would take the balance below the USD 400 minimum.
request_61,29062,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,"Use 3 installments of ZAR 10,074.83, starting 17 March 2024. This leaves at least ZAR 54,495.21 available."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,"Pay USD 404.23 today. This leaves at least USD 4,392.38 available over the next 90 days."
request_63,59497.64,affordable_with_plan,partial_payment,2026-07-07:59497.64|2026-09-15:284402.36,2026-09-15,none,"Pay INR 59,497.64 today and the remaining INR 284,402.36 on 15 September 2026. This completes the full request and keeps the INR 153,500 minimum protected."
request_64,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 16 August 2024. None of the available options keeps the INR 36,100 minimum protected."
request_65,7267.71,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 54,340 request. Although ZAR 7,267.71 is available today, the full amount cannot be completed safely within 90 days."
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,"Pay INR 22,200 today. This leaves at least INR 248,244 available over the next 90 days."
request_67,535.18,affordable_later,wait,2024-10-15:2094,2024-10-15,none,"Pay USD 2,094 in full on 15 October 2024. Paying earlier would take the balance below the USD 1,200 minimum."
request_68,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 16 April 2025. None of the available options keeps the USD 1,500 minimum protected."
request_69,529.1,affordable_now,full_payment,2026-01-04:529.1,2026-01-04,none,Pay EUR 529.10 today. This leaves at least EUR 834.82 available over the next 90 days.
request_70,61135.81,affordable_later,wait,2025-01-15:243900,2025-01-15,none,"Pay INR 243,900 in full on 15 January 2025. Paying earlier would take the balance below the INR 115,000 minimum."
request_71,2217740.02,affordable_later,wait,2025-07-15:21451000,2025-07-15,none,"Pay IDR 21,451,000 in full on 15 July 2025. Paying earlier would take the balance below the IDR 8,884,800 minimum."
request_72,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 14 July 2026. None of the available options keeps the ZAR 12,200 minimum protected."
request_73,71400,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,"Pay INR 71,400 today. This leaves at least INR 135,398.64 available over the next 90 days."
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,"Pay ZAR 5,010 today. This leaves at least ZAR 39,937.11 available over the next 90 days."
request_75,28270,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,none,"Use 3 installments of ZAR 9,800.27, starting 9 April 2026. This leaves at least ZAR 47,867.71 available."
request_76,1103.56,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 4,455.60 request. Although USD 1,103.56 is available today, the full amount cannot be completed safely within 90 days."
request_77,60700,affordable_now,full_payment,2025-11-05:60700,2025-11-05,none,"Pay INR 60,700 today. This leaves at least INR 88,125.57 available over the next 90 days."
request_78,50200,affordable_now,full_payment,2025-10-02:50200,2025-10-02,none,"Pay INR 50,200 today. This leaves at least INR 64,500.66 available over the next 90 days."
request_79,483.32,not_affordable,not_recommended,none,2024-11-15,none,"Do not proceed with the EUR 2,151.60 request. Although EUR 483.32 is available today, the full amount cannot be completed safely within 90 days."
request_80,118112.51,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 217,500 request. Although INR 118,112.51 is available today, the full amount cannot be completed safely within 90 days."
request_81,2076,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,"Pay USD 2,076 today. This leaves at least USD 1,898.91 available over the next 90 days."
request_82,541.67,affordable_later,wait,2024-12-15:1405.2,2024-12-15,none,"Pay USD 1,405.20 in full on 15 December 2024. Paying earlier would take the balance below the USD 1,100 minimum."
request_83,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 17 June 2025. None of the available options keeps the INR 37,800 minimum protected."
request_84,29924.33,affordable_later,wait,2026-05-15:95400,2026-05-15,none,"Pay INR 95,400 in full on 15 May 2026. Paying earlier would take the balance below the INR 91,300 minimum."
request_85,863961.67,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 19,304,000 request. Although IDR 863,961.67 is available today, the full amount cannot be completed safely within 90 days."
request_86,28934.34,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 46,300 request. Although INR 28,934.34 is available today, the full amount cannot be completed safely within 90 days."
request_87,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 March 2026. None of the available options keeps the INR 185,900 minimum protected."
request_88,11959.79,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-06-15,none,"Use 3 installments of ZAR 9,045.23, starting 14 June 2024. This leaves at least ZAR 28,714.56 available."
request_89,10514891.2,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2025-11-15,none,"Use 3 installments of IDR 4,768,746.67, starting 18 November 2025. This leaves at least IDR 22,070,471.89 available."
request_90,2560,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,"Pay ZAR 2,560 today. This leaves at least ZAR 27,038.58 available over the next 90 days."
request_91,902.29,affordable_later,wait,2024-09-15:1927.2,2024-09-15,none,"Pay EUR 1,927.20 in full on 15 September 2024. Paying earlier would take the balance below the EUR 2,100 minimum."
request_92,34034,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,"Pay ZAR 34,034 today. This leaves at least ZAR 33,026.90 available over the next 90 days."
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.2,2026-04-07,none,"Pay USD 1,729.20 today. This leaves at least USD 2,094.78 available over the next 90 days."
request_94,572,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,Pay EUR 572 today. This leaves at least EUR 658.85 available over the next 90 days.
request_95,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 14 July 2025. None of the available options keeps the INR 145,500 minimum protected."
request_96,37081.78,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 90,200 request. Although INR 37,081.78 is available today, the full amount cannot be completed safely within 90 days."
request_97,2960.25,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-04-15,none,"Use 3 installments of ZAR 8,145.28, starting 19 March 2024. This leaves at least ZAR 32,660.25 available."
request_98,11277.72,affordable_later,wait,2025-08-15:27148,2025-08-15,none,"Pay ZAR 27,148 in full on 15 August 2025. Paying earlier would take the balance below the ZAR 30,000 minimum."
